Time,Voltage,Resistance,Current,
150,4.19773,0.012631,0.979,
300,4.19727,0.012639,0.979,
450,4.13633,0.012572,0.979,
600,4.13601,0.012571,0.979,
750,4.10537,0.012565,0.979,
900,4.09005,0.012521,0.979,
1050,4.07821,0.01249,0.979,
1200,4.06921,0.01246,0.979,
1350,4.06035,0.012442,0.979,
1500,4.05457,0.012412,0.979,
1650,4.0494,0.012375,0.979,
1800,4.04545,0.012376,0.979,
1950,4.04174,0.012337,0.979,
2100,4.0385,0.012365,0.979,
2250,4.03626,0.012341,0.979,
2400,4.03378,0.012323,0.979,
2550,4.03049,0.012321,0.979,
2700,4.02757,0.012326,0.979,
2850,4.02454,0.012311,0.979,
3000,4.02108,0.012313,0.979,
3150,4.01723,0.012321,0.979,
3300,4.01263,0.012368,0.979,
3450,4.00728,0.012331,0.979,
3600,3.99995,0.012318,0.979,
3750,3.99183,0.012312,0.979,
3900,3.98297,0.012284,0.979,
4050,3.97313,0.012339,0.979,
4200,3.96273,0.012313,0.979,
4350,3.95215,0.012336,0.979,
4500,3.94086,0.012315,0.979,
4650,3.92987,0.012335,0.979,
4800,3.91886,0.012342,0.979,
4950,3.90827,0.012335,0.979,
5100,3.89812,0.012331,0.979,
5250,3.88867,0.01233,0.979,
5400,3.87962,0.012365,0.979,
5550,3.8711,0.012326,0.979,
5700,3.86322,0.012319,0.979,
5850,3.85592,0.012333,0.979,
6000,3.84891,0.012359,0.98,
6150,3.84234,0.012351,0.979,
6300,3.83588,0.012379,0.979,
6450,3.82964,0.012366,0.98,
6600,3.82346,0.012406,0.979,
6750,3.81718,0.012342,0.979,
6900,3.81114,0.012371,0.979,
7050,3.8048,0.012381,0.979,
7200,3.79824,0.012391,0.979,
7350,3.79133,0.01243,0.979,
7500,3.78438,0.012402,0.979,
7650,3.77715,0.012408,0.979,
7800,3.76985,0.012436,0.979,
7950,3.76234,0.012449,0.979,
8100,3.75482,0.012422,0.979,
8250,3.74718,0.012423,0.979,
8400,3.73951,0.012424,0.979,
8550,3.73161,0.012424,0.98,
8700,3.72374,0.012466,0.979,
8850,3.71566,0.012462,0.979,
9000,3.7076,0.012474,0.979,
9150,3.69938,0.012473,0.979,
9300,3.69114,0.012466,0.979,
9450,3.68264,0.012474,0.979,
9600,3.67435,0.012481,0.979,
9750,3.66608,0.012453,0.979,
9900,3.65791,0.012457,0.98,
10050,3.64997,0.012505,0.979,
10200,3.64212,0.012491,0.979,
10350,3.63438,0.012488,0.979,
10500,3.62695,0.012507,0.979,
10650,3.62005,0.012487,0.979,
10800,3.61358,0.01253,0.979,
10950,3.60677,0.012493,0.979,
11100,3.60005,0.012511,0.979,
11250,3.5935,0.01253,0.979,
11400,3.5871,0.012527,0.979,
11550,3.58087,0.012512,0.979,
11700,3.57452,0.012518,0.979,
11850,3.56815,0.012528,0.979,
12000,3.56191,0.012528,0.979,
12150,3.55544,0.012547,0.98,
12300,3.54903,0.012563,0.979,
12450,3.54302,0.012579,0.979,
12600,3.53549,0.012582,0.979,
12750,3.52833,0.012578,0.979,
12900,3.52123,0.012574,0.979,
13050,3.51361,0.012594,0.979,
13200,3.50603,0.012604,0.98,
13350,3.49792,0.012613,0.98,
13500,3.48984,0.012642,0.98,
13650,3.48088,0.01263,0.979,
13800,3.47176,0.012661,0.979,
13950,3.46214,0.012692,0.98,
14100,3.45221,0.012696,0.979,
14250,3.44294,0.012728,0.979,
14400,3.43447,0.012723,0.979,
14550,3.42646,0.012715,0.98,
14700,3.419,0.012767,0.979,
14850,3.41135,0.012784,0.98,
15000,3.40339,0.012816,0.98,
15150,3.39529,0.012805,0.979,
15300,3.38653,0.012807,0.979,
15450,3.37659,0.012859,0.979,
15600,3.36429,0.012846,0.979,
15750,3.34893,0.012876,0.979,
15900,3.33163,0.012933,0.979,
16050,3.31336,0.012956,0.979,
16200,3.29398,0.01302,0.979,
16350,3.27285,0.013039,0.979,
16500,3.2499,0.013074,0.979,
16650,3.22459,0.013102,0.979,
16800,3.19692,0.013113,0.979,
16950,3.16649,0.01314,0.979,
17100,3.13454,0.013163,0.979,
17250,3.10186,0.013199,0.979,
17400,3.06875,0.013218,0.979,
17550,3.03512,0.013206,0.979,
17700,2.99963,0.013258,0.979,
17850,2.96309,0.013257,0.979,
18000,2.91889,0.013244,0.979,
18150,2.86967,0.013282,0.979,
18300,2.81118,0.013304,0.979,
18450,2.73692,0.01329,0.979,
